epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,11751.2,0.0268,0.94582,1,0.19742,0.0084952,0.0084952,0.0084952
78,11901.5,0.02685,0.94518,1,0.19571,0.0084754,0.0084754,0.0084754
79,12053,0.03105,0.94518,1,0.20251,0.0084556,0.0084556,0.0084556
80,12202.4,0.02494,0.94423,1,0.19624,0.0084358,0.0084358,0.0084358
81,12354.2,0.0259,0.94645,1,0.19016,0.008416,0.008416,0.008416
82,12504,0.02518,0.94455,1,0.1988,0.0083962,0.0083962,0.0083962
83,12653.9,0.0264,0.92395,1,0.29965,0.0083764,0.0083764,0.0083764
84,12805.9,0.02456,0.40241,1,1.92511,0.0083566,0.0083566,0.0083566
85,12956.8,0.01927,0.34854,1,3.11974,0.0083368,0.0083368,0.0083368
86,13108.4,0.02224,0.33365,1,3.56581,0.008317,0.008317,0.008317
87,13259.2,0.02295,0.32921,1,3.74579,0.0082972,0.0082972,0.0082972
88,13410.2,0.02443,0.32858,1,3.83098,0.0082774,0.0082774,0.0082774
89,13563.1,0.02262,0.3289,1,3.75556,0.0082576,0.0082576,0.0082576
90,13715.5,0.02281,0.33016,1,3.72115,0.0082378,0.0082378,0.0082378
91,13868.8,0.02217,0.33238,1,3.63552,0.008218,0.008218,0.008218
92,14020.8,0.02281,0.33365,1,3.50811,0.0081982,0.0081982,0.0081982
93,14171.6,0.02776,0.33682,1,3.37425,0.0081784,0.0081784,0.0081784
94,14324.9,0.02197,0.33777,1,3.3436,0.0081586,0.0081586,0.0081586
95,14477.2,0.02181,0.34189,1,3.14273,0.0081388,0.0081388,0.0081388
96,14630.2,0.02424,0.35139,1,2.89017,0.008119,0.008119,0.008119
97,14783.4,0.02281,0.35171,1,2.86253,0.0080992,0.0080992,0.0080992
98,14935.8,0.02335,0.35551,1,2.72927,0.0080794,0.0080794,0.0080794
99,15089.2,0.02587,0.35425,1,2.753,0.0080596,0.0080596,0.0080596
100,15241.4,0.02695,0.35171,1,2.7473,0.0080398,0.0080398,0.0080398
101,15392.1,0.02352,0.3571,1,2.56611,0.00802,0.00802,0.00802
102,15541.7,0.02172,0.36185,1,2.37215,0.0080002,0.0080002,0.0080002
103,15689.8,0.02358,0.36597,1,2.22927,0.0079804,0.0079804,0.0079804
104,15838.8,0.01835,0.37167,1,2.0619,0.0079606,0.0079606,0.0079606
105,15987.5,0.01846,0.38023,1,1.88191,0.0079408,0.0079408,0.0079408
106,16136,0.02138,0.39005,1,1.76593,0.007921,0.007921,0.007921
